winner,SEED_higher,SEED_lower,TEAM_higher,G_higher,W_higher,ADJOE_higher,ADJDE_higher,BARTHAG_higher,EFG_O_higher,EFG_D_higher,TOR_higher,TORD_higher,ORB_higher,DRB_higher,FTR_higher,FTRD_higher,2P_O_higher,2P_D_higher,3P_O_higher,3P_D_higher,ADJ_T_higher,WAB_higher,SEED_higher.1,Turnover_diff_higher,TEAM_lower,G_lower,W_lower,ADJOE_lower,ADJDE_lower,BARTHAG_lower,EFG_O_lower,EFG_D_lower,TOR_lower,TORD_lower,ORB_lower,DRB_lower,FTR_lower,FTRD_lower,2P_O_lower,2P_D_lower,3P_O_lower,3P_D_lower,ADJ_T_lower,WAB_lower,SEED_lower.1,Turnover_diff_lower
Lower,8,9,Mississippi St.,33,21,118.4,98.9,0.888,51.7,51.9,15.1,19,34.1,29.5,31.6,35.4,55.2,50.1,31.4,36.1,68.1,3,8,2.8,Baylor,33,19,120.6,99.5,0.9014,51.5,51.2,16.1,18.8,35.6,31.2,31,33.5,51.2,49.8,34.7,35.4,64.7,1.9,9,1.7
Higher,5,12,Oregon,33,24,115.2,97.4,0.8737,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,53,50,34,31.7,67.8,5.3,5,1,Liberty,34,28,113.1,98.2,0.8366,58.4,45.9,15.3,16.9,18.9,28,30.9,26.3,57.7,48,39.5,28,65.5,-0.13,12,2
Higher,4,13,Arizona,34,22,123.9,96.6,0.9459,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,70,5.4,4,0.3,Akron,34,28,114,106.8,0.6787,55.4,49.5,16.6,17.2,33.3,29,26.8,33.7,55.8,50.6,36.6,31.9,71.3,-1.7,13,0.6
Higher,6,11,BYU,33,24,125.5,99.3,0.9366,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,67.3,4.7,6,-0.2,VCU,34,28,116.2,96.1,0.8983,52.4,44.4,16.8,20.6,36.7,30,32.2,36.1,54.2,43.6,33.5,30.6,66.2,1.1,11,2.5
Higher,3,14,Wisconsin,35,26,122.5,96.3,0.9407,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,67.6,5.9,3,0.3,Montana,34,25,112.1,109.1,0.576,56.4,52.2,16.2,15.5,22.6,29,36.2,31.9,57.3,53.1,36.5,33.7,67.1,-3.1,14,-0.1
Higher,7,10,Saint Mary's,33,28,115.1,92.9,0.9211,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25,51.8,45.8,32.6,31.2,61.9,4.2,7,1,Vanderbilt,32,20,118.7,101.3,0.861,51.7,52.9,14.7,20,32.2,29.7,34,39,53.6,51.5,32.5,36.9,69.7,1.5,10,3.7
Higher,2,15,Alabama,33,25,127.7,96.5,0.9619,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,74.8,9.8,2,-2.4,Robert Morris,34,26,106,105.1,0.5265,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30,50.7,49.8,34.9,34.2,68,-4.3,15,0.1
Higher,1,9,Duke,34,31,128.6,91.3,0.9808,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,65.8,9.7,1,2.2,Baylor,33,19,120.6,99.5,0.9014,51.5,51.2,16.1,18.8,35.6,31.2,31,33.5,51.2,49.8,34.7,35.4,64.7,1.9,9,1.7
Higher,4,5,Arizona,34,22,123.9,96.6,0.9459,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,70,5.4,4,0.3,Oregon,33,24,115.2,97.4,0.8737,52.2,49.1,16.2,17.6,30.6,29.2,33.4,27.7,53,50,34,31.7,67.8,5.3,5,1
Lower,3,6,Wisconsin,35,26,122.5,96.3,0.9407,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,67.6,5.9,3,0.3,BYU,33,24,125.5,99.3,0.9366,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,67.3,4.7,6,-0.2
Higher,2,7,Alabama,33,25,127.7,96.5,0.9619,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,74.8,9.8,2,-2.4,Saint Mary's,33,28,115.1,92.9,0.9211,50.9,46.2,15.1,16.6,40.5,24.9,31.4,25,51.8,45.8,32.6,31.2,61.9,4.2,7,1
Higher,1,16,Houston,34,30,124.8,88.2,0.9819,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,61.5,11.5,1,4.5,SIU Edwardsville,33,22,101.5,105.8,0.3822,48.9,47.5,17.1,17.3,31.8,29.1,33.1,33.2,47.8,46.3,34,33,65.9,-7.8,16,1.3
Higher,8,9,Gonzaga,33,25,123.4,96.5,0.9443,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,70.3,2.7,8,3.6,Georgia,32,20,116.1,96,0.8991,52.5,47.2,18.8,18,36.1,31.8,39.8,30.4,53.8,47.8,33.5,30.9,66.5,2,9,-0.6
